,NAME,B25074_001E,B25074_001EA,B25074_001M,B25074_001MA,B25074_002E,B25074_002EA,B25074_002M,B25074_002MA,B25074_003E,B25074_003EA,B25074_003M,B25074_003MA,B25074_004E,B25074_004EA,B25074_004M,B25074_004MA,B25074_005E,B25074_005EA,B25074_005M,B25074_005MA,B25074_006E,B25074_006EA,B25074_006M,B25074_006MA,B25074_007E,B25074_007EA,B25074_007M,B25074_007MA,B25074_008E,B25074_008EA,B25074_008M,B25074_008MA,B25074_009E,B25074_009EA,B25074_009M,B25074_009MA,B25074_010E,B25074_010EA,B25074_010M,B25074_010MA,B25074_011E,B25074_011EA,B25074_011M,B25074_011MA,B25074_012E,B25074_012EA,B25074_012M,B25074_012MA,B25074_013E,B25074_013EA,B25074_013M,B25074_013MA,B25074_014E,B25074_014EA,B25074_014M,B25074_014MA,B25074_015E,B25074_015EA,B25074_015M,B25074_015MA,B25074_016E,B25074_016EA,B25074_016M,B25074_016MA,B25074_017E,B25074_017EA,B25074_017M,B25074_017MA,B25074_018E,B25074_018EA,B25074_018M,B25074_018MA,B25074_019E,B25074_019EA,B25074_019M,B25074_019MA,B25074_020E,B25074_020EA,B25074_020M,B25074_020MA,B25074_021E,B25074_021EA,B25074_021M,B25074_021MA,B25074_022E,B25074_022EA,B25074_022M,B25074_022MA,B25074_023E,B25074_023EA,B25074_023M,B25074_023MA,B25074_024E,B25074_024EA,B25074_024M,B25074_024MA,B25074_025E,B25074_025EA,B25074_025M,B25074_025MA,B25074_026E,B25074_026EA,B25074_026M,B25074_026MA,B25074_027E,B25074_027EA,B25074_027M,B25074_027MA,B25074_028E,B25074_028EA,B25074_028M,B25074_028MA,B25074_029E,B25074_029EA,B25074_029M,B25074_029MA,B25074_030E,B25074_030EA,B25074_030M,B25074_030MA,B25074_031E,B25074_031EA,B25074_031M,B25074_031MA,B25074_032E,B25074_032EA,B25074_032M,B25074_032MA,B25074_033E,B25074_033EA,B25074_033M,B25074_033MA,B25074_034E,B25074_034EA,B25074_034M,B25074_034MA,B25074_035E,B25074_035EA,B25074_035M,B25074_035MA,B25074_036E,B25074_036EA,B25074_036M,B25074_036MA,B25074_037E,B25074_037EA,B25074_037M,B25074_037MA,B25074_038E,B25074_038EA,B25074_038M,B25074_038MA,B25074_039E,B25074_039EA,B25074_039M,B25074_039MA,B25074_040E,B25074_040EA,B25074_040M,B25074_040MA,B25074_041E,B25074_041EA,B25074_041M,B25074_041MA,B25074_042E,B25074_042EA,B25074_042M,B25074_042MA,B25074_043E,B25074_043EA,B25074_043M,B25074_043MA,B25074_044E,B25074_044EA,B25074_044M,B25074_044MA,B25074_045E,B25074_045EA,B25074_045M,B25074_045MA,B25074_046E,B25074_046EA,B25074_046M,B25074_046MA,B25074_047E,B25074_047EA,B25074_047M,B25074_047MA,B25074_048E,B25074_048EA,B25074_048M,B25074_048MA,B25074_049E,B25074_049EA,B25074_049M,B25074_049MA,B25074_050E,B25074_050EA,B25074_050M,B25074_050MA,B25074_051E,B25074_051EA,B25074_051M,B25074_051MA,B25074_052E,B25074_052EA,B25074_052M,B25074_052MA,B25074_053E,B25074_053EA,B25074_053M,B25074_053MA,B25074_054E,B25074_054EA,B25074_054M,B25074_054MA,B25074_055E,B25074_055EA,B25074_055M,B25074_055MA,B25074_056E,B25074_056EA,B25074_056M,B25074_056MA,B25074_057E,B25074_057EA,B25074_057M,B25074_057MA,B25074_058E,B25074_058EA,B25074_058M,B25074_058MA,B25074_059E,B25074_059EA,B25074_059M,B25074_059MA,B25074_060E,B25074_060EA,B25074_060M,B25074_060MA,B25074_061E,B25074_061EA,B25074_061M,B25074_061MA,B25074_062E,B25074_062EA,B25074_062M,B25074_062MA,B25074_063E,B25074_063EA,B25074_063M,B25074_063MA,B25074_064E,B25074_064EA,B25074_064M,B25074_064MA,GEO_ID,NAME,state,county
0,"Jefferson County, Alabama",103273,,3779,,17656,,2250,,55,,89,,214,,252,,294,,257,,484,,388,,307,,243,,435,,330,,10164,,1987,,5703,,1466,,15965,,2512,,285,,243,,853,,753,,1237,,809,,1572,,880,,800,,544,,1999,,802,,8687,,1814,,532,,319,,22799,,2941,,899,,700,,1403,,701,,3532,,1512,,3493,,1180,,3228,,1255,,4966,,1571,,4246,,1343,,1032,,574,,14866,,2311,,2191,,871,,3867,,1455,,3062,,943,,1564,,805,,2585,,1162,,375,,327,,246,,304,,976,,537,,13073,,1955,,5299,,1320,,3146,,1057,,2385,,833,,780,,560,,84,,140,,302,,249,,93,,168,,984,,625,,6512,,1275,,4096,,1076,,1046,,568,,343,,330,,266,,315,,0,,206,,0,,206,,0,,206,,761,,501,,12402,,2317,,11722,,2357,,262,,278,,64,,106,,0,,206,,0,,206,,0,,206,,0,,206,,354,,323,,0500000US01073,"Jefferson County, Alabama",01,073
1,"Marion County, Indiana",176823,,5395,,25465,,3190,,45,,72,,335,,451,,246,,244,,650,,476,,221,,224,,383,,380,,12876,,2339,,10709,,2103,,25309,,3250,,667,,702,,356,,313,,494,,281,,486,,346,,1093,,584,,3283,,1270,,18233,,2619,,697,,451,,38131,,4355,,1115,,674,,1240,,597,,3848,,951,,5396,,1645,,5819,,1507,,11523,,2519,,8606,,2015,,584,,440,,32796,,4113,,3449,,1301,,8615,,2084,,8497,,2238,,6508,,1831,,2686,,813,,2233,,948,,369,,292,,439,,400,,28140,,3098,,11689,,2061,,8267,,1603,,4552,,1009,,2025,,1005,,476,,389,,330,,341,,249,,254,,552,,379,,14751,,2647,,10751,,1918,,2702,,1228,,983,,1033,,42,,73,,0,,201,,0,,201,,0,,201,,273,,190,,12231,,2013,,11118,,1939,,553,,507,,128,,137,,81,,138,,87,,148,,0,,201,,0,,201,,264,,194,,0500000US18097,"Marion County, Indiana",18,097
2,"Jefferson County, Kentucky",122937,,3999,,14995,,2341,,338,,403,,336,,253,,1307,,825,,48,,58,,41,,68,,438,,387,,8990,,1774,,3497,,1072,,18319,,2219,,1115,,664,,348,,303,,1710,,877,,1520,,892,,747,,439,,1127,,427,,10453,,1723,,1299,,724,,26027,,2893,,2076,,928,,1257,,689,,4018,,1268,,4944,,1435,,3415,,1242,,5344,,1549,,4286,,1190,,687,,445,,18450,,2708,,3261,,1088,,3574,,1002,,4341,,1159,,2983,,897,,1083,,445,,1951,,1063,,928,,618,,329,,266,,21040,,2611,,10677,,1909,,6377,,1364,,1763,,655,,481,,367,,126,,122,,215,,196,,253,,189,,1148,,511,,11729,,1928,,9079,,1851,,1592,,550,,757,,680,,0,,201,,9,,15,,82,,131,,0,,201,,210,,151,,12377,,2133,,10957,,2014,,324,,416,,202,,176,,70,,112,,123,,206,,0,,201,,0,,201,,701,,459,,0500000US21111,"Jefferson County, Kentucky",21,111
3,"Kent County, Michigan",74337,,3730,,7702,,1781,,0,,175,,232,,380,,293,,319,,108,,118,,58,,104,,85,,113,,5451,,1584,,1475,,721,,10116,,1972,,568,,436,,227,,278,,878,,607,,449,,313,,261,,187,,1062,,488,,6262,,1589,,409,,301,,15339,,2154,,278,,228,,576,,401,,1198,,576,,2572,,910,,2096,,839,,3802,,1264,,4246,,1236,,571,,432,,13686,,2288,,1637,,710,,2815,,996,,3763,,1255,,2552,,1050,,1281,,586,,1016,,672,,296,,263,,326,,295,,14049,,2345,,6387,,1596,,4281,,1188,,1420,,468,,1163,,598,,389,,333,,212,,211,,121,,147,,76,,112,,7323,,1730,,5577,,1456,,737,,448,,292,,228,,45,,78,,54,,97,,272,,406,,0,,175,,346,,392,,6122,,1656,,5096,,1555,,512,,468,,34,,57,,109,,172,,0,,175,,0,,175,,0,,175,,371,,233,,0500000US26081,"Kent County, Michigan",26,081
4,"St. Louis County, Missouri",126226,,4638,,11969,,2151,,201,,238,,64,,106,,941,,847,,688,,516,,0,,195,,145,,232,,7656,,1817,,2274,,917,,16874,,2177,,535,,556,,565,,366,,548,,401,,753,,396,,1120,,806,,1533,,710,,10866,,1836,,954,,795,,25327,,3405,,520,,389,,1476,,934,,2744,,1073,,3617,,1336,,3579,,1190,,7483,,2461,,4756,,1214,,1152,,509,,20363,,3035,,2089,,1126,,5047,,1385,,5482,,1906,,2734,,944,,2539,,1224,,1562,,835,,331,,246,,579,,364,,24516,,3391,,9612,,1791,,7375,,2077,,4075,,1656,,1089,,712,,904,,552,,171,,156,,866,,655,,424,,234,,12873,,2409,,10275,,2258,,1388,,558,,554,,478,,64,,105,,399,,483,,0,,195,,168,,232,,25,,42,,14304,,2187,,12384,,2063,,1120,,470,,171,,164,,120,,200,,137,,222,,0,,195,,0,,195,,372,,281,,0500000US29189,"St. Louis County, Missouri",29,189
5,"Jackson County, Missouri",122928,,4296,,15092,,2372,,291,,404,,342,,217,,782,,648,,446,,368,,87,,152,,297,,287,,8368,,1720,,4479,,1351,,17765,,2587,,224,,196,,806,,627,,1009,,711,,1185,,661,,390,,371,,2364,,931,,10943,,1971,,844,,592,,23352,,2820,,1233,,749,,967,,350,,2460,,883,,4903,,1491,,3042,,1043,,5994,,1560,,3914,,1114,,839,,425,,20293,,2514,,2395,,905,,3885,,1252,,5411,,1225,,3257,,1165,,2427,,1160,,1919,,852,,516,,395,,483,,334,,23808,,2266,,9417,,1791,,8178,,1643,,3481,,937,,1182,,596,,569,,609,,301,,345,,326,,263,,354,,243,,10964,,1611,,8465,,1520,,1678,,684,,370,,323,,155,,154,,0,,195,,0,,195,,0,,195,,296,,236,,11654,,1820,,10140,,1697,,794,,446,,289,,213,,0,,195,,47,,83,,0,,195,,0,,195,,384,,311,,0500000US29095,"Jackson County, Missouri",29,095
6,"St. Louis city, Missouri",82087,,3151,,14168,,2115,,0,,195,,171,,276,,1083,,633,,670,,527,,244,,271,,362,,353,,7990,,1650,,3648,,1121,,14205,,2201,,214,,200,,488,,331,,1079,,684,,726,,560,,721,,613,,1725,,865,,8479,,1729,,773,,477,,15013,,2705,,560,,346,,999,,589,,2189,,1001,,3144,,1226,,1612,,725,,3133,,1060,,2888,,1098,,488,,450,,10566,,1945,,2185,,826,,2806,,833,,2251,,671,,1836,,775,,531,,447,,403,,294,,104,,123,,450,,385,,15091,,2162,,8926,,1673,,3760,,944,,1168,,548,,200,,206,,386,,300,,0,,195,,65,,112,,586,,389,,7879,,1673,,5938,,1406,,920,,430,,434,,410,,0,,195,,0,,195,,273,,266,,72,,122,,242,,295,,5165,,1239,,4777,,1188,,77,,130,,79,,132,,0,,195,,0,,195,,0,,195,,0,,195,,232,,301,,0500000US29510,"St. Louis city, Missouri",29,510
7,"Douglas County, Nebraska",85091,,3393,,8573,,1402,,257,,313,,0,,165,,595,,538,,87,,92,,301,,354,,40,,70,,4881,,1075,,2412,,909,,9413,,1414,,146,,173,,267,,182,,473,,287,,357,,252,,308,,240,,1412,,585,,6269,,1258,,181,,188,,16825,,2058,,38,,63,,442,,283,,1805,,862,,2507,,828,,3460,,1100,,4870,,1048,,3535,,1035,,168,,123,,13902,,1867,,1664,,603,,3127,,923,,3941,,925,,2228,,1042,,1302,,621,,1105,,509,,217,,243,,318,,231,,19356,,2127,,7505,,1198,,5421,,1167,,3613,,1087,,1086,,612,,560,,332,,413,,286,,501,,417,,257,,184,,9425,,2069,,6654,,1672,,1376,,636,,853,,519,,79,,129,,0,,165,,0,,165,,87,,102,,376,,265,,7597,,1552,,6991,,1554,,489,,376,,0,,165,,0,,165,,0,,165,,11,,19,,0,,165,,106,,103,,0500000US31055,"Douglas County, Nebraska",31,055
8,"Mecklenburg County, North Carolina",187693,,5150,,12854,,2008,,67,,111,,142,,212,,99,,96,,346,,285,,174,,276,,219,,355,,7549,,1631,,4258,,1221,,18076,,2850,,596,,653,,93,,109,,706,,537,,632,,522,,544,,435,,1425,,706,,13809,,2636,,271,,188,,30712,,3719,,441,,415,,601,,435,,934,,500,,2771,,1054,,3161,,1057,,11195,,2186,,10811,,1927,,798,,493,,33195,,3049,,1571,,698,,3186,,1158,,7862,,1531,,8145,,1712,,5879,,1353,,4407,,1137,,1763,,747,,382,,359,,36836,,3484,,6536,,1778,,10642,,1854,,10199,,1892,,5519,,1663,,1975,,817,,1171,,719,,243,,242,,551,,390,,23959,,2641,,11631,,2027,,8756,,1715,,2537,,1027,,724,,705,,55,,98,,0,,216,,124,,155,,132,,160,,32061,,3066,,27615,,2925,,2872,,974,,293,,247,,153,,177,,322,,436,,46,,79,,0,,216,,760,,535,,0500000US37119,"Mecklenburg County, North Carolina",37,119
9,"Guilford County, North Carolina",87314,,4706,,11064,,2223,,0,,216,,0,,216,,144,,236,,43,,75,,1002,,813,,441,,390,,7186,,1945,,2248,,921,,12450,,2315,,164,,149,,280,,366,,495,,379,,813,,621,,330,,214,,1845,,1064,,7713,,1669,,810,,542,,18157,,3355,,1318,,705,,1068,,691,,2605,,1101,,2971,,1366,,2396,,1060,,5165,,1578,,2561,,962,,73,,89,,16449,,2682,,1681,,954,,3768,,1234,,5241,,1850,,2936,,1214,,864,,596,,931,,645,,631,,510,,397,,232,,11949,,2270,,5947,,1398,,3841,,1247,,1306,,1105,,158,,159,,55,,94,,137,,206,,46,,81,,459,,425,,8208,,1802,,6400,,1478,,1061,,646,,219,,209,,159,,194,,74,,122,,0,,216,,132,,138,,163,,263,,9037,,1970,,8702,,1975,,95,,109,,40,,65,,0,,216,,45,,72,,0,,216,,0,,216,,155,,226,,0500000US37081,"Guilford County, North Carolina",37,081
