,NAME,B25014_001E,B25014_001EA,B25014_001M,B25014_001MA,B25014_002E,B25014_002EA,B25014_002M,B25014_002MA,B25014_003E,B25014_003EA,B25014_003M,B25014_003MA,B25014_004E,B25014_004EA,B25014_004M,B25014_004MA,B25014_005E,B25014_005EA,B25014_005M,B25014_005MA,B25014_006E,B25014_006EA,B25014_006M,B25014_006MA,B25014_007E,B25014_007EA,B25014_007M,B25014_007MA,B25014_008E,B25014_008EA,B25014_008M,B25014_008MA,B25014_009E,B25014_009EA,B25014_009M,B25014_009MA,B25014_010E,B25014_010EA,B25014_010M,B25014_010MA,B25014_011E,B25014_011EA,B25014_011M,B25014_011MA,B25014_012E,B25014_012EA,B25014_012M,B25014_012MA,B25014_013E,B25014_013EA,B25014_013M,B25014_013MA,GEO_ID,NAME,state,county
0,"Jefferson County, Alabama",264753,,3376,,161480,,3568,,137614,,3960,,22786,,2446,,569,,340,,368,,354,,143,,195,,103273,,3779,,69859,,3627,,30378,,3121,,2395,,1010,,347,,325,,294,,293,,0500000US01073,"Jefferson County, Alabama",01,073
1,"Marion County, Indiana",379451,,3928,,202628,,4900,,166061,,5371,,34593,,3357,,1601,,672,,287,,253,,86,,149,,176823,,5395,,132532,,5525,,40839,,3550,,2259,,904,,1166,,690,,27,,37,,0500000US18097,"Marion County, Indiana",18,097
2,"Jefferson County, Kentucky",316174,,3159,,193237,,3967,,160014,,3618,,30963,,2856,,2000,,866,,217,,195,,43,,71,,122937,,3999,,80967,,4047,,36982,,3179,,3200,,1211,,1702,,1029,,86,,108,,0500000US21111,"Jefferson County, Kentucky",21,111
3,"Kent County, Michigan",245437,,2516,,171100,,3505,,135072,,3336,,34302,,2864,,1266,,611,,460,,390,,0,,175,,74337,,3730,,45724,,3260,,25871,,2859,,1948,,846,,794,,644,,0,,175,,0500000US26081,"Kent County, Michigan",26,081
4,"St. Louis County, Missouri",410842,,3458,,284616,,4876,,241830,,4514,,41102,,3011,,1366,,874,,290,,217,,28,,47,,126226,,4638,,90533,,4622,,33105,,3802,,1893,,862,,541,,362,,154,,154,,0500000US29189,"St. Louis County, Missouri",29,189
5,"Jackson County, Missouri",292571,,3126,,169643,,3685,,136758,,3795,,30910,,2799,,1922,,726,,53,,92,,0,,195,,122928,,4296,,82682,,4409,,35888,,3262,,3546,,1320,,648,,397,,164,,283,,0500000US29095,"Jackson County, Missouri",29,095
6,"St. Louis city, Missouri",146779,,3107,,64692,,3439,,53860,,3079,,9701,,1722,,951,,812,,118,,198,,62,,101,,82087,,3151,,59259,,3558,,20524,,2497,,1236,,705,,904,,558,,164,,202,,0500000US29510,"St. Louis city, Missouri",29,510
7,"Douglas County, Nebraska",222819,,2301,,137728,,2867,,112376,,3228,,24082,,2376,,876,,488,,394,,270,,0,,165,,85091,,3393,,56405,,3150,,24534,,2521,,2968,,1199,,1075,,648,,109,,104,,0500000US31055,"Douglas County, Nebraska",31,055
8,"Mecklenburg County, North Carolina",426313,,4517,,238620,,4907,,203968,,4897,,32687,,2957,,1750,,654,,94,,174,,121,,155,,187693,,5150,,121181,,4167,,58752,,4402,,5926,,1181,,1655,,594,,179,,247,,0500000US37119,"Mecklenburg County, North Carolina",37,119
9,"Guilford County, North Carolina",206950,,3305,,119636,,3805,,100462,,3259,,17149,,2104,,1823,,857,,100,,125,,102,,128,,87314,,4706,,52462,,3643,,29875,,3553,,2183,,1057,,1479,,830,,1315,,905,,0500000US37081,"Guilford County, North Carolina",37,081
10,"Hamilton County, Ohio",347235,,3728,,204271,,4547,,172329,,4413,,30464,,2794,,1096,,556,,152,,130,,230,,297,,142964,,4904,,98234,,4705,,41404,,4089,,2502,,1000,,824,,519,,0,,198,,0500000US39061,"Hamilton County, Ohio",39,061
11,"Franklin County, Ohio",522383,,4463,,278809,,6486,,227179,,6676,,49520,,3749,,1568,,641,,245,,219,,297,,469,,243574,,6641,,154692,,6299,,77916,,4986,,7952,,1555,,2933,,1221,,81,,97,,0500000US39049,"Franklin County, Ohio",39,049
12,"Oklahoma County, Oklahoma",305493,,3296,,177674,,4531,,138077,,4267,,37071,,2816,,2181,,902,,263,,169,,82,,85,,127819,,4572,,76834,,4624,,45356,,3497,,4221,,1501,,1317,,560,,91,,88,,0500000US40109,"Oklahoma County, Oklahoma",40,109
13,"Tulsa County, Oklahoma",255352,,1952,,151406,,2573,,118328,,2593,,30358,,2073,,2432,,667,,168,,145,,120,,138,,103946,,2533,,67234,,2258,,32325,,2163,,3036,,592,,816,,380,,535,,299,,0500000US40143,"Tulsa County, Oklahoma",40,143
14,"Greenville County, South Carolina",199551,,2904,,139331,,3626,,114448,,3803,,22343,,2291,,2224,,911,,316,,291,,0,,218,,60220,,2633,,40652,,2601,,17246,,2150,,1628,,684,,694,,534,,0,,218,,0500000US45045,"Greenville County, South Carolina",45,045
15,"Knox County, Tennessee",191925,,3205,,121781,,2727,,100779,,3002,,20448,,2071,,430,,410,,70,,86,,54,,91,,70144,,3064,,47879,,2878,,20575,,2667,,1231,,666,,459,,392,,0,,216,,0500000US47093,"Knox County, Tennessee",47,093
16,"Shelby County, Tennessee",353950,,4012,,191812,,5163,,162846,,4777,,27479,,2898,,1209,,461,,225,,249,,53,,91,,162138,,5328,,111901,,5109,,44905,,4312,,4557,,1420,,288,,270,,487,,572,,0500000US47157,"Shelby County, Tennessee",47,157
17,"Davidson County, Tennessee",289427,,4247,,155502,,4310,,128101,,4613,,25119,,3010,,1838,,756,,221,,186,,223,,223,,133925,,4342,,89821,,4933,,39832,,3553,,2773,,924,,1234,,576,,265,,329,,0500000US47037,"Davidson County, Tennessee",47,037
