,NAME,B25003_001E,B25003_001EA,B25003_001M,B25003_001MA,B25003_002E,B25003_002EA,B25003_002M,B25003_002MA,B25003_003E,B25003_003EA,B25003_003M,B25003_003MA,GEO_ID,NAME,state,county
0,"Jefferson County, Alabama",264753,,3376,,161480,,3568,,103273,,3779,,0500000US01073,"Jefferson County, Alabama",01,073
1,"Marion County, Indiana",379451,,3928,,202628,,4900,,176823,,5395,,0500000US18097,"Marion County, Indiana",18,097
2,"Jefferson County, Kentucky",316174,,3159,,193237,,3967,,122937,,3999,,0500000US21111,"Jefferson County, Kentucky",21,111
3,"Kent County, Michigan",245437,,2516,,171100,,3505,,74337,,3730,,0500000US26081,"Kent County, Michigan",26,081
4,"St. Louis County, Missouri",410842,,3458,,284616,,4876,,126226,,4638,,0500000US29189,"St. Louis County, Missouri",29,189
5,"Jackson County, Missouri",292571,,3126,,169643,,3685,,122928,,4296,,0500000US29095,"Jackson County, Missouri",29,095
6,"St. Louis city, Missouri",146779,,3107,,64692,,3439,,82087,,3151,,0500000US29510,"St. Louis city, Missouri",29,510
7,"Douglas County, Nebraska",222819,,2301,,137728,,2867,,85091,,3393,,0500000US31055,"Douglas County, Nebraska",31,055
8,"Mecklenburg County, North Carolina",426313,,4517,,238620,,4907,,187693,,5150,,0500000US37119,"Mecklenburg County, North Carolina",37,119
9,"Guilford County, North Carolina",206950,,3305,,119636,,3805,,87314,,4706,,0500000US37081,"Guilford County, North Carolina",37,081
10,"Hamilton County, Ohio",347235,,3728,,204271,,4547,,142964,,4904,,0500000US39061,"Hamilton County, Ohio",39,061
11,"Franklin County, Ohio",522383,,4463,,278809,,6486,,243574,,6641,,0500000US39049,"Franklin County, Ohio",39,049
12,"Oklahoma County, Oklahoma",305493,,3296,,177674,,4531,,127819,,4572,,0500000US40109,"Oklahoma County, Oklahoma",40,109
13,"Tulsa County, Oklahoma",255352,,1952,,151406,,2573,,103946,,2533,,0500000US40143,"Tulsa County, Oklahoma",40,143
14,"Greenville County, South Carolina",199551,,2904,,139331,,3626,,60220,,2633,,0500000US45045,"Greenville County, South Carolina",45,045
15,"Knox County, Tennessee",191925,,3205,,121781,,2727,,70144,,3064,,0500000US47093,"Knox County, Tennessee",47,093
16,"Shelby County, Tennessee",353950,,4012,,191812,,5163,,162138,,5328,,0500000US47157,"Shelby County, Tennessee",47,157
17,"Davidson County, Tennessee",289427,,4247,,155502,,4310,,133925,,4342,,0500000US47037,"Davidson County, Tennessee",47,037
